label,cadi,arxiv,paper,lumi,category,process,com,finalstate,xs,tot_down,tot_up,stat_down,stat_up,syst_down,syst_up,xs_theory,theory_down,theory_up
EWKWg8,SMP-14-011,1612.09256,JHEP 06 (2017) 106,19.7,VBS,qqW#gamma,8,,10800,5334.79,5334.79,4100,4100,3413.21,3413.21,6100,1216.55,1216.55
EWKWg13,SMP-21-011,2212.12592,PRD 108 032017,138,VBS,qqW#gamma,13,,23500,4794.45,4794.45,2800,2800,3801.32,3982.46,26384,2300,2300
exWW8,FSQ-13-008,1604.04464,JHEP 08 (2016) 119,19.7,VBS,#gamma#gamma#rightarrowWW,8,,21600,9200,9200,9200,9200,0,0,12400,1000,1000
EWKWW13,SMP-21-0011,2205.05711,PLB 841 (2023) 137495,138,VBS,os WW,13,,10200,2000,2000,1336.2,1336.2,1519.8,1519.8,9100,600,600
SSWW8,SMP-13-015,1410.6315,PRL 114 051801 (2015),19.4,VBS,ss WW,8,,4000,2437.72,2437.72,2200,2200,1050,1050,5800,1200,1200
SSWW13,SMP-19-012,2005.01173,PLB 809 (2020) 135710,137,VBS,ss WW,13,,3980,446.542,446.542,370,370,250,250,3310,470,470
EWKZg8,SMP-14-018,1702.03025,PLB 770 (2017) 380,19.7,VBS,qqZ#gamma,8,,1860,940.957,1100.09,750,890,568.243,646.607,1260,120.83,120.83
EWKZg13,SMP-20-016,2106.11082,PRD 104 072001 (2021),137,VBS,qqZ#gamma,13,,5210,764.199,764.199,520,520,560,560,4340,266.833,266.833
EWKWZ13,SMP-19-012,2005.01173,PLB 809 (2020) 135710,137,VBS,qqWZ,13,,1810,410,410,390,390,140,140,1240,180,180
EWKZZ13,SMP-20-001,2008.07013,PLB 812 (2020) 135992,137,VBS,qqZZ,13,,330,104.403,117.047,100,110,30,40,278,17,17
tt5,TOP-20-004,2112.09114,JHEP 04 (2022) 144,0.302,TOP,$\mathrm{t\bar{t}}$,5.02,,6.3e+07,5.08035e+06,5.08035e+06,4.1e+06,4.1e+06,3e+06,3e+06,6.68e+07,3.1e+06,2.9e+06
